network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,is_anycast
1.32.208.12/30,1880251,1880251,,0,0,
1.32.208.16/28,1880251,1880251,,0,0,
1.32.208.32/27,1880251,1880251,,0,0,
1.32.208.64/26,1880251,1880251,,0,0,
1.32.208.128/25,1880251,1880251,,0,0,
1.32.209.0/24,1880251,1880251,,0,0,
1.32.210.0/23,1880251,1880251,,0,0,
1.32.212.0/22,1880251,1880251,,0,0,
1.32.216.0/22,1880251,1880251,,0,0,
1.32.220.0/24,1835841,1880251,,0,0,
1.32.221.0/24,1880251,1880251,,0,0,
1.32.222.0/23,1880251,1880251,,0,0,
1.32.224.0/23,1880251,1880251,,0,0,
1.32.226.0/27,1880251,1880251,,0,0,
1.32.226.32/28,1880251,1880251,,0,0,
1.32.226.48/29,1880251,1880251,,0,0,
1.32.226.56/32,1880251,1880251,,0,0,
1.32.226.57/32,1861060,1880251,,0,0,
1.32.226.58/31,1880251,1880251,,0,0,
1.32.226.60/30,1880251,1880251,,0,0,
1.32.226.64/26,1880251,1880251,,0,0,
1.32.226.128/25,1880251,1880251,,0,0,
1.32.227.0/24,1880251,1880251,,0,0,
1.32.228.0/22,1880251,1880251,,0,0,
1.32.232.0/21,1880251,1880251,,0,0,
1.32.240.0/20,1880251,1880251,,0,0,
1.33.0.0/16,1861060,1861060,,0,0,
1.34.0.0/32,1814991,1668284,,0,0,
1.34.0.1/32,1668284,1668284,,0,0,
1.34.0.2/31,1668284,1668284,,0,0,
1.34.0.4/30,1668284,1668284,,0,0,
1.34.0.8/29,1668284,1668284,,0,0,
1.34.0.16/28,1668284,1668284,,0,0,
1.34.0.32/27,1668284,1668284,,0,0,
1.34.0.64/26,1668284,1668284,,0,0,
1.34.0.128/25,1668284,1668284,,0,0,
1.34.1.0/24,1668284,1668284,,0,0,
1.34.2.0/23,1668284,1668284,,0,0,
1.34.4.0/22,1668284,1668284,,0,0,
1.34.8.0/21,1668284,1668284,,0,0,
1.34.16.0/20,1668284,1668284,,0,0,
1.34.32.0/19,1668284,1668284,,0,0,
1.34.64.0/24,1668284,1668284,,0,0,
1.34.65.0/25,1668284,1668284,,0,0,
1.34.65.128/27,1668284,1668284,,0,0,
1.34.65.160/28,1668284,1668284,,0,0,
1.34.65.176/31,1668284,1668284,,0,0,
1.34.65.178/32,1668284,1668284,,0,0,
1.34.65.180/30,1668284,1668284,,0,0,
1.34.65.184/29,1668284,1668284,,0,0,
1.34.65.192/26,1668284,1668284,,0,0,
1.34.66.0/23,1668284,1668284,,0,0,
1.34.68.0/22,1668284,1668284,,0,0,
1.34.72.0/21,1668284,1668284,,0,0,
1.34.80.0/20,1668284,1668284,,0,0,
1.34.96.0/19,1668284,1668284,,0,0,
1.34.128.0/17,1668284,1668284,,0,0,
1.35.0.0/16,1668284,1668284,,0,0,
1.36.0.0/16,1819730,1819730,,0,0,
1.37.0.0/16,1694008,1694008,,0,0,
1.38.0.0/15,1269750,1269750,,0,0,
1.40.0.0/14,2077456,2077456,,0,0,
1.44.0.0/16,2077456,2077456,,0,0,
1.45.0.0/16,1814991,1814991,,0,0,
1.46.0.0/19,1605651,1605651,,0,0,
1.46.32.0/20,1605651,1605651,,0,0,
1.46.48.0/21,1605651,1605651,,0,0,
1.46.56.0/22,1605651,1605651,,0,0,
1.46.60.0/32,1605651,1605651,,0,0,
1.46.60.1/32,1814991,1605651,,0,0,
1.46.60.2/31,1605651,1605651,,0,0,
1.46.60.4/30,1605651,1605651,,0,0,
1.46.60.8/29,1605651,1605651,,0,0,
1.46.60.16/28,1605651,1605651,,0,0,
1.46.60.32/27,1605651,1605651,,0,0,
1.46.60.64/26,1605651,1605651,,0,0,
1.46.60.128/25,1605651,1605651,,0,0,
1.46.61.0/24,1605651,1605651,,0,0,
1.46.62.0/23,1605651,1605651,,0,0,
1.46.64.0/18,1605651,1605651,,0,0,
1.46.128.0/17,1605651,1605651,,0,0,
1.47.0.0/16,1605651,1605651,,0,0,
1.48.0.0/14,1814991,1814991,,0,0,
1.52.0.0/17,1562822,1562822,,0,0,
1.52.128.0/18,1562822,1562822,,0,0,
1.52.192.0/19,1562822,1562822,,0,0,
1.52.224.0/20,1562822,1562822,,0,0,
1.52.240.0/22,1562822,1562822,,0,0,
1.52.244.0/23,1562822,1562822,,0,0,
1.52.246.0/24,1562822,1562822,,0,0,
1.52.247.0/29,1819730,1562822,,0,0,
1.52.247.8/29,1880251,1562822,,0,0,
1.52.247.16/28,1562822,1562822,,0,0,
1.52.247.32/27,1562822,1562822,,0,0,
1.52.247.64/26,1562822,1562822,,0,0,
1.52.247.128/25,1562822,1562822,,0,0,
1.52.248.0/21,1562822,1562822,,0,0,
1.53.0.0/16,1562822,1562822,,0,0,
1.54.0.0/15,1562822,1562822,,0,0,
1.56.0.0/13,1814991,1814991,,0,0,
1.64.0.0/15,1819730,1819730,,0,0,
1.66.0.0/15,1861060,1861060,,0,0,
1.68.0.0/14,1814991,1814991,,0,0,
1.72.0.0/13,1861060,1861060,,0,0,
1.80.0.0/12,1814991,1814991,,0,0,
1.96.0.0/12,1835841,1835841,,0,0,
1.112.0.0/14,1861060,1861060,,0,0,
1.116.0.0/15,1814991,1814991,,0,0,
1.118.0.0/19,1814991,1814991,,0,0,
1.118.32.0/24,2750405,1814991,,0,0,
1.118.33.0/24,1814991,1814991,,0,0,
1.118.34.0/23,1814991,1814991,,0,0,
1.118.36.0/22,1814991,1814991,,0,0,
1.118.40.0/21,1814991,1814991,,0,0,
1.118.48.0/20,1814991,1814991,,0,0,
1.118.64.0/18,1814991,1814991,,0,0,
1.118.128.0/17,1814991,1814991,,0,0,
1.119.0.0/16,1814991,1814991,,0,0,
1.120.0.0/13,2077456,2077456,,0,0,
1.128.0.0/11,2077456,2077456,,0,0,
1.160.0.0/13,1668284,1668284,,0,0,
1.168.0.0/14,1668284,1668284,,0,0,
1.172.0.0/15,1668284,1668284,,0,0,
1.174.0.0/17,1668284,1668284,,0,0,
1.174.128.0/18,1668284,1668284,,0,0,
1.174.192.0/20,1668284,1668284,,0,0,
1.174.208.0/21,1668284,1668284,,0,0,
1.174.216.0/22,1668284,1668284,,0,0,
1.174.220.0/23,1668284,1668284,,0,0,
1.174.222.0/25,1668284,1668284,,0,0,
1.174.222.128/26,1668284,1668284,,0,0,
1.174.222.192/28,1668284,1668284,,0,0,
1.174.222.208/29,1668284,1668284,,0,0,
1.174.222.216/30,1668284,1668284,,0,0,
1.174.222.220/31,1668284,1668284,,0,0,
1.174.222.222/32,1668284,1668284,,0,0,
1.174.222.224/27,1668284,1668284,,0,0,
1.174.223.0/24,1668284,1668284,,0,0,
1.174.224.0/19,1668284,1668284,,0,0,
1.175.0.0/16,1668284,1668284,,0,0,
1.176.0.0/15,1835841,1835841,,0,0,
1.178.0.0/24,2077456,6252001,,0,0,
1.178.1.0/24,6252001,6252001,,0,0,
1.178.2.0/23,2077456,2077456,,0,0,
1.178.4.0/23,6252001,6252001,,0,0,
1.178.6.0/24,6252001,6252001,,0,0,
1.178.7.0/24,2963597,6252001,,0,0,
1.178.8.0/23,6252001,6252001,,0,0,
1.178.10.0/24,2921044,6252001,,0,0,
1.178.11.0/24,2077456,6252001,,0,0,
1.178.12.0/22,2077456,6252001,,0,0,
1.178.16.0/20,2077456,6252001,,0,0,
1.178.32.0/20,3469034,1880251,,0,0,
1.178.48.0/20,3865483,1880251,,0,0,
1.178.64.0/24,1861060,6252001,,0,0,
1.178.65.0/24,6252001,6252001,,0,0,
1.178.66.0/23,2077456,2077456,,0,0,
1.178.68.0/22,6252001,6252001,,0,0,
1.178.72.0/21,6252001,6252001,,0,0,
1.178.80.0/24,2077456,2077456,,0,0,
1.178.81.0/24,6252001,6252001,,0,0,
1.178.82.0/23,2077456,2077456,,0,0,
1.178.84.0/23,2077456,2077456,,0,0,
1.178.86.0/23,6252001,6252001,,0,0,
1.178.88.0/24,1269750,6252001,,0,0,
1.178.89.0/24,1880251,6252001,,0,0,
1.178.90.0/24,3017382,6252001,,0,0,
1.178.91.0/24,1835841,6252001,,0,0,
1.178.92.0/24,6251999,6252001,,0,0,
1.178.93.0/24,2661886,6252001,,0,0,
1.178.94.0/24,2635167,6252001,,0,0,
1.178.95.0/24,6252001,6252001,,0,0,
1.178.96.0/22,2077456,2077456,,0,0,
1.178.100.0/22,6252001,6252001,,0,0,
1.178.104.0/21,6252001,6252001,,0,0,
1.178.112.0/20,6254930,6254930,,0,0,
1.178.128.0/20,6254930,6254930,,0,0,
1.178.144.0/20,6252001,6252001,,0,0,
1.178.160.0/21,6252001,6252001,,0,0,
1.178.168.0/22,6252001,6252001,,0,0,
1.178.172.0/23,6252001,6252001,,0,0,
1.178.174.0/24,6252001,6252001,,0,0,
1.178.175.0/24,2077456,2077456,,0,0,
1.178.176.0/22,2077456,2077456,,0,0,
1.178.180.0/22,6252001,6252001,,0,0,
1.178.184.0/21,6252001,6252001,,0,0,
1.178.192.0/20,6252001,6252001,,0,0,
1.178.208.0/20,6254930,6254930,,0,0,
1.178.224.0/19,2510769,2510769,,0,0,
1.179.0.0/23,2077456,2077456,,0,0,
1.179.2.0/23,2077456,6252001,,0,0,
1.179.4.0/22,2077456,2077456,,0,0,
1.179.8.0/22,2077456,2077456,,0,0,
1.179.12.0/23,2077456,2077456,,0,0,
1.179.14.0/23,6252001,6252001,,0,0,
1.179.16.0/21,2077456,2077456,,0,0,
1.179.24.0/21,6252001,6252001,,0,0,
1.179.32.0/21,6252001,6252001,,0,0,
1.179.40.0/21,6254930,6254930,,0,0,
1.179.48.0/22,2077456,2077456,,0,0,
1.179.52.0/22,6252001,6252001,,0,0,
1.179.56.0/22,6252001,6252001,,0,0,
1.179.60.0/23,6252001,6252001,,0,0,
1.179.62.0/23,2077456,2077456,,0,0,
1.179.64.0/21,6252001,6252001,,0,0,
1.179.72.0/21,6254930,6254930,,0,0,
1.179.80.0/21,6252001,6252001,,0,0,
1.179.88.0/21,6254930,6254930,,0,0,
1.179.96.0/22,2077456,2077456,,0,0,
1.179.100.0/22,6252001,6252001,,0,0,
1.179.104.0/21,6252001,6252001,,0,0,
1.179.112.0/20,3017382,3017382,,0,0,
1.179.128.0/17,1605651,1605651,,0,0,
1.180.0.0/14,1814991,1814991,,0,0,
1.184.0.0/15,1814991,1814991,,0,0,
1.186.0.0/17,2635167,2635167,,0,0,
1.186.128.0/20,2635167,2635167,,0,0,
1.186.144.0/24,2635167,2635167,,0,0,
1.186.145.0/24,1269750,2635167,,0,0,
1.186.146.0/23,2635167,2635167,,0,0,
1.186.148.0/23,2635167,2635167,,0,0,
1.186.150.0/24,1269750,2635167,,0,0,
1.186.151.0/24,2635167,2635167,,0,0,
1.186.152.0/21,2635167,2635167,,0,0,
1.186.160.0/19,2635167,2635167,,0,0,
1.186.192.0/23,2635167,2635167,,0,0,
1.186.194.0/24,2635167,2635167,,0,0,
1.186.195.0/24,1269750,2635167,,0,0,
1.186.196.0/22,2635167,2635167,,0,0,
1.186.200.0/21,2635167,2635167,,0,0,
1.186.208.0/24,1269750,2635167,,0,0,
1.186.209.0/24,2635167,2635167,,0,0,
1.186.210.0/23,2635167,2635167,,0,0,
1.186.212.0/23,1269750,2635167,,0,0,
1.186.214.0/24,1269750,2635167,,0,0,
1.186.215.0/24,2635167,2635167,,0,0,
1.186.216.0/22,2635167,2635167,,0,0,
1.186.220.0/23,2635167,2635167,,0,0,
1.186.222.0/24,2635167,2635167,,0,0,
1.186.223.0/26,2635167,2635167,,0,0,
1.186.223.64/27,2635167,2635167,,0,0,
1.186.223.96/28,2635167,2635167,,0,0,
1.186.223.112/32,2635167,2635167,,0,0,
1.186.223.113/32,1269750,2635167,,0,0,
1.186.223.114/31,2635167,2635167,,0,0,
1.186.223.116/30,2635167,2635167,,0,0,
1.186.223.120/29,2635167,2635167,,0,0,
1.186.223.128/25,2635167,2635167,,0,0,
1.186.224.0/19,2635167,2635167,,0,0,
1.187.0.0/16,1269750,1269750,,0,0,
1.188.0.0/14,1814991,1814991,,0,0,
1.192.0.0/13,1814991,1814991,,0,0,
1.200.0.0/16,1668284,1668284,,0,0,
1.201.0.0/16,1835841,1835841,,0,0,
1.202.0.0/15,1814991,1814991,,0,0,
1.204.0.0/14,1814991,1814991,,0,0,
1.208.0.0/12,1835841,1835841,,0,0,
1.224.0.0/11,1835841,1835841,,0,0,
2.0.0.0/15,2661886,2661886,,0,0,
2.2.0.0/16,2661886,2661886,,0,0,
2.3.0.0/16,3017382,3017382,,0,0,
2.4.0.0/14,3017382,3017382,,0,0,
2.8.0.0/14,3017382,3017382,,0,0,
2.12.0.0/17,3017382,3017382,,0,0,
2.12.128.0/18,3017382,3017382,,0,0,
2.12.192.0/20,3017382,3017382,,0,0,
2.12.208.0/23,3017382,3017382,,0,0,
2.12.210.0/24,3017382,3017382,,0,0,
2.12.211.0/25,3017382,3017382,,0,0,
2.12.211.128/27,3017382,3017382,,0,0,
2.12.211.160/29,3017382,3017382,,0,0,
2.12.211.168/31,3017382,3017382,,0,0,
2.12.211.170/32,3017382,3017382,,0,0,
2.12.211.172/30,3017382,3017382,,0,0,
2.12.211.176/28,3017382,3017382,,0,0,
2.12.211.192/26,3017382,3017382,,0,0,
2.12.212.0/22,3017382,3017382,,0,0,
2.12.216.0/21,3017382,3017382,,0,0,
2.12.224.0/19,3017382,3017382,,0,0,
2.13.0.0/16,3017382,3017382,,0,0,
2.14.0.0/15,3017382,3017382,,0,0,
2.16.0.0/24,3469034,2750405,,0,0,
2.16.1.0/24,2921044,2750405,,0,0,
2.16.2.0/24,3077311,2750405,,0,0,
2.16.3.0/24,2750405,2750405,,0,0,
2.16.4.0/22,2750405,2750405,,0,0,
2.16.8.0/24,2510769,2750405,,0,0,
2.16.9.0/24,2750405,2750405,,0,0,
2.16.10.0/24,2921044,2750405,,0,0,
2.16.11.0/24,3017382,2750405,,0,0,
2.16.12.0/23,2658434,2750405,,0,0,
2.16.14.0/24,2750405,2750405,,0,0,
2.16.15.0/24,3865483,2750405,,0,0,
2.16.16.0/24,2782113,2750405,,0,0,
2.16.17.0/24,3175395,2750405,,0,0,
2.16.18.0/24,2750405,2750405,,0,0,
2.16.19.0/24,390903,2750405,,0,0,
2.16.20.0/23,2017370,2750405,,0,0,
2.16.22.0/24,3175395,2750405,,0,0,
2.16.23.0/24,2661886,2750405,,0,0,
2.16.24.0/22,2750405,2750405,,0,0,
2.16.28.0/24,2750405,2750405,,0,0,
2.16.29.0/24,2921044,2750405,,0,0,
2.16.30.0/23,2921044,2750405,,0,0,
2.16.32.0/23,2921044,2750405,,0,0,
2.16.34.0/24,953987,2750405,,0,0,
2.16.35.0/24,2750405,2750405,,0,0,
2.16.36.0/24,2921044,2750405,,0,0,
2.16.37.0/24,2635167,2750405,,0,0,
2.16.38.0/23,2510769,2750405,,0,0,
2.16.40.0/24,2750405,2750405,,0,0,
2.16.41.0/24,2921044,2750405,,0,0,
2.16.42.0/23,2750405,2750405,,0,0,
2.16.44.0/24,290557,2750405,,0,0,
2.16.45.0/24,2750405,2750405,,0,0,
2.16.46.0/23,2921044,2750405,,0,0,
2.16.48.0/24,3017382,2750405,,0,0,
2.16.49.0/24,2750405,2750405,,0,0,
2.16.50.0/23,2750405,2750405,,0,0,
2.16.52.0/24,2921044,2750405,,0,0,
2.16.53.0/24,2017370,2750405,,0,0,
2.16.54.0/24,2510769,2750405,,0,0,
2.16.55.0/24,2635167,2750405,,0,0,
2.16.56.0/24,2661886,2750405,,0,0,
2.16.57.0/24,2750405,2750405,,0,0,
2.16.58.0/23,2635167,2750405,,0,0,
2.16.60.0/30,2750405,2750405,,0,0,
2.16.60.4/30,3077311,2750405,,0,0,
2.16.60.8/30,2750405,2750405,,0,0,
2.16.60.12/30,3077311,2750405,,0,0,
2.16.60.16/30,2750405,2750405,,0,0,
2.16.60.20/30,3077311,2750405,,0,0,
2.16.60.24/30,2750405,2750405,,0,0,
2.16.60.28/31,3077311,2750405,,0,0,
2.16.60.30/32,3077311,2750405,,0,0,
2.16.60.31/32,2750405,2750405,,0,0,
2.16.60.32/27,2750405,2750405,,0,0,
2.16.60.64/30,2750405,2750405,,0,0,
2.16.60.68/30,3077311,2750405,,0,0,
2.16.60.72/30,2750405,2750405,,0,0,
2.16.60.76/30,3077311,2750405,,0,0,
2.16.60.80/30,2750405,2750405,,0,0,
2.16.60.84/30,3077311,2750405,,0,0,
2.16.60.88/30,2750405,2750405,,0,0,
2.16.60.92/30,3077311,2750405,,0,0,
2.16.60.96/30,2750405,2750405,,0,0,
2.16.60.100/30,3077311,2750405,,0,0,
2.16.60.104/30,2750405,2750405,,0,0,
2.16.60.108/30,3077311,2750405,,0,0,
2.16.60.112/30,2750405,2750405,,0,0,
2.16.60.116/31,3077311,2750405,,0,0,
2.16.60.118/32,2750405,2750405,,0,0,
2.16.60.119/32,3077311,2750405,,0,0,
2.16.60.120/30,2750405,2750405,,0,0,
2.16.60.124/32,3077311,2750405,,0,0,
2.16.60.125/32,2750405,2750405,,0,0,
2.16.60.126/32,3077311,2750405,,0,0,
2.16.60.127/32,2750405,2750405,,0,0,
2.16.60.128/30,2750405,2750405,,0,0,
2.16.60.132/30,3077311,2750405,,0,0,
2.16.60.136/30,2750405,2750405,,0,0,
2.16.60.140/30,3077311,2750405,,0,0,
2.16.60.144/30,2750405,2750405,,0,0,
2.16.60.148/30,3077311,2750405,,0,0,
2.16.60.152/30,2750405,2750405,,0,0,
2.16.60.156/30,3077311,2750405,,0,0,
2.16.60.160/30,2750405,2750405,,0,0,
2.16.60.164/32,3077311,2750405,,0,0,
2.16.60.165/32,2750405,2750405,,0,0,
2.16.60.166/31,2750405,2750405,,0,0,
2.16.60.168/29,2750405,2750405,,0,0,
2.16.60.176/28,2750405,2750405,,0,0,
2.16.60.192/26,2750405,2750405,,0,0,
2.16.61.0/27,2750405,2750405,,0,0,
2.16.61.32/29,2750405,2750405,,0,0,
2.16.61.40/30,2750405,2750405,,0,0,
2.16.61.44/32,2750405,2750405,,0,0,
2.16.61.45/32,2921044,2750405,,0,0,
2.16.61.46/31,2921044,2750405,,0,0,
2.16.61.48/30,2750405,2750405,,0,0,
2.16.61.52/30,2921044,2750405,,0,0,
2.16.61.56/30,2750405,2750405,,0,0,
2.16.61.60/30,2921044,2750405,,0,0,
2.16.61.64/30,2750405,2750405,,0,0,
2.16.61.68/30,2921044,2750405,,0,0,
2.16.61.72/30,2750405,2750405,,0,0,
2.16.61.76/30,2921044,2750405,,0,0,
2.16.61.80/30,2750405,2750405,,0,0,
2.16.61.84/30,2921044,2750405,,0,0,
2.16.61.88/30,2750405,2750405,,0,0,
2.16.61.92/30,2921044,2750405,,0,0,
2.16.61.96/30,2750405,2750405,,0,0,
2.16.61.100/30,2921044,2750405,,0,0,
2.16.61.104/30,2750405,2750405,,0,0,
2.16.61.108/30,2921044,2750405,,0,0,
2.16.61.112/30,2750405,2750405,,0,0,
2.16.61.116/32,2921044,2750405,,0,0,
2.16.61.117/32,2750405,2750405,,0,0,
2.16.61.118/31,2750405,2750405,,0,0,
2.16.61.120/29,2750405,2750405,,0,0,
2.16.61.128/25,2750405,2750405,,0,0,
2.16.62.0/24,2921044,2750405,,0,0,
2.16.63.0/24,2623032,2750405,,0,0,
2.16.64.0/24,2510769,2750405,,0,0,
2.16.65.0/24,2264397,2750405,,0,0,
2.16.66.0/23,3469034,2750405,,0,0,
2.16.68.0/23,2661886,2750405,,0,0,
2.16.70.0/23,3175395,2750405,,0,0,
2.16.72.0/23,2921044,2750405,,0,0,
2.16.74.0/23,2750405,2750405,,0,0,
2.16.76.0/24,6252001,2750405,,0,0,
2.16.77.0/24,2300660,2750405,,0,0,
2.16.78.0/24,2750405,2750405,,0,0,
2.16.79.0/24,2921044,2750405,,0,0,
2.16.80.0/23,1861060,2750405,,0,0,
2.16.82.0/23,2750405,2750405,,0,0,
2.16.84.0/23,2750405,2750405,,0,0,
2.16.86.0/23,3175395,2750405,,0,0,
2.16.88.0/24,2510769,2750405,,0,0,
2.16.89.0/24,3017382,2750405,,0,0,
2.16.90.0/23,2921044,2750405,,0,0,
2.16.92.0/24,2750405,2750405,,0,0,
2.16.93.0/24,3017382,2750405,,0,0,
2.16.94.0/23,2750405,2750405,,0,0,
2.16.96.0/22,2921044,2750405,,0,0,
2.16.100.0/23,2921044,2750405,,0,0,
2.16.102.0/24,2750405,2750405,,0,0,
2.16.103.0/24,2017370,2750405,,0,0,
2.16.104.0/23,2921044,2750405,,0,0,
2.16.106.0/23,2750405,2750405,,0,0,
2.16.108.0/24,3469034,2750405,,0,0,
2.16.109.0/24,953987,2750405,,0,0,
2.16.110.0/23,2921044,2750405,,0,0,
2.16.112.0/23,3017382,2750405,,0,0,
2.16.114.0/23,2635167,2750405,,0,0,
2.16.116.0/24,3017382,2750405,,0,0,
2.16.117.0/25,2750405,2750405,,0,0,
2.16.117.128/27,2750405,2750405,,0,0,
2.16.117.160/28,2750405,2750405,,0,0,
2.16.117.176/30,2750405,2750405,,0,0,
2.16.117.180/32,2750405,2750405,,0,0,
2.16.117.181/32,3017382,2750405,,0,0,
2.16.117.182/31,3017382,2750405,,0,0,
2.16.117.184/32,2750405,2750405,,0,0,
2.16.117.185/32,3017382,2750405,,0,0,
2.16.117.186/31,3017382,2750405,,0,0,
2.16.117.188/30,3017382,2750405,,0,0,
2.16.117.192/28,3017382,2750405,,0,0,
2.16.117.208/29,3017382,2750405,,0,0,
2.16.117.216/31,3017382,2750405,,0,0,
2.16.117.218/32,3017382,2750405,,0,0,
2.16.117.219/32,2750405,2750405,,0,0,
2.16.117.220/30,2750405,2750405,,0,0,
2.16.117.224/27,2750405,2750405,,0,0,
2.16.118.0/24,2750405,2750405,,0,0,
2.16.119.0/24,2921044,2750405,,0,0,
2.16.120.0/24,3469034,2750405,,0,0,
2.16.121.0/24,2921044,2750405,,0,0,
2.16.122.0/23,2750405,2750405,,0,0,
2.16.124.0/23,3017382,2750405,,0,0,
2.16.126.0/23,2750405,2750405,,0,0,
2.16.128.0/24,1643084,2750405,,0,0,
2.16.129.0/24,2921044,2750405,,0,0,
2.16.130.0/24,2750405,2750405,,0,0,
2.16.131.0/24,3017382,2750405,,0,0,
2.16.132.0/23,2921044,2750405,,0,0,
2.16.134.0/24,2233387,2750405,,0,0,
2.16.135.0/24,2750405,2750405,,0,0,
2.16.136.0/24,2750405,2750405,,0,0,
2.16.137.0/24,2921044,2750405,,0,0,
